Scope
Manufacturer	Model
Xfer Records	vst3.56534558667350736572756D20320000.Serum 2

Remotable	Min	Max	Input type	Output type
C Level	0	4194304	Value	ValueOutput
C Pan	0	4194304	Value	ValueOutput
C Octave	0	8	Value	ValueOutput
C Semi	0	24	Value	ValueOutput
C Fine	0	4194304	Value	ValueOutput
C Ratio	0	4194304	Value	ValueOutput
C Hz Offset	0	4194304	Value	ValueOutput
C Coarse Pitch	0	4194304	Value	ValueOutput
C Pitch Track	0	1	Value	ValueOutput
C Start	0	4194304	Value	ValueOutput
C End	0	4194304	Value	ValueOutput
C Reverse	0	1	Value	ValueOutput
C Scan Rate	0	4194304	Value	ValueOutput
C Scan BPM Rate	0	6	Value	ValueOutput
C Scan Key Track	0	1	Value	ValueOutput
C Position	0	4194304	Value	ValueOutput
C Loop Start	0	4194304	Value	ValueOutput
C Loop End	0	4194304	Value	ValueOutput
C Loop X-Fade	0	4194304	Value	ValueOutput
C Loop Mode	0	4	Value	ValueOutput
C Relative Loop	0	1	Value	ValueOutput
C Single Slice	0	99	Value	ValueOutput
C Slice Play Mode	0	1	Value	ValueOutput
C Unison	0	15	Value	ValueOutput
C Uni Stack	0	8	Value	ValueOutput
C Uni Detune	0	4194304	Value	ValueOutput
C Uni Blend	0	4194304	Value	ValueOutput
C Uni Width	0	4194304	Value	ValueOutput
C Uni Span	0	4194304	Value	ValueOutput
C Uni Rand Start	0	4194304	Value	ValueOutput
C Uni Warp	0	4194304	Value	ValueOutput
C Uni Warp 2	0	4194304	Value	ValueOutput
C Warp	0	4194304	Value	ValueOutput
C Warp Var	0	4194304	Value	ValueOutput
C Warp Mode	0	69	Value	ValueOutput
C Warp 2	0	4194304	Value	ValueOutput
C Warp 2 Var	0	4194304	Value	ValueOutput
C Warp 2 Mode	0	69	Value	ValueOutput
C WT Pos	0	4194304	Value	ValueOutput
C Uni WT Pos	0	4194304	Value	ValueOutput
C Phase	0	4194304	Value	ValueOutput
C Rand Phase	0	4194304	Value	ValueOutput
C Param44	0	4194304	Value	ValueOutput
C Param45	0	4194304	Value	ValueOutput
C Param46	0	4194304	Value	ValueOutput
C Param47	0	4194304	Value	ValueOutput
C Param48	0	4194304	Value	ValueOutput
C Param49	0	4194304	Value	ValueOutput
C Param50	0	4194304	Value	ValueOutput
C Param51	0	4194304	Value	ValueOutput
C Param52	0	4194304	Value	ValueOutput
C Param53	0	4194304	Value	ValueOutput
C Param54	0	4194304	Value	ValueOutput
C Param55	0	4194304	Value	ValueOutput
Noise Enable	0	1	Value	ValueOutput
Noise Level	0	4194304	Value	ValueOutput
Noise Pan	0	4194304	Value	ValueOutput
Noise Pitch Track	0	1	Value	ValueOutput
Noise Pitch	0	4194304	Value	ValueOutput
Noise Fine	0	4194304	Value	ValueOutput
Noise Phase	0	4194304	Value	ValueOutput
Noise Rand Phase	0	4194304	Value	ValueOutput
Sub Enable	0	1	Value	ValueOutput
Sub Level	0	4194304	Value	ValueOutput
Sub Pan	0	4194304	Value	ValueOutput
Sub Octave	0	8	Value	ValueOutput
Sub Coarse Pitch	0	4194304	Value	ValueOutput
Sub Pitch Track	0	1	Value	ValueOutput
Sub Shape	0	5	Value	ValueOutput
Sub Phase	0	4194304	Value	ValueOutput
Sub Cont. Phase	0	1	Value	ValueOutput
Filter 1 Level	0	4194304	Value	ValueOutput
Filter 1 On	0	1	Value	ValueOutput
Filter 1 Type	0	106	Value	ValueOutput
Filter 1 Freq	0	4194304	Value	ValueOutput
Filter 1 Res	0	4194304	Value	ValueOutput
Filter 1 Drive	0	4194304	Value	ValueOutput
Filter 1 Var	0	4194304	Value	ValueOutput
Filter 1 Wet	0	4194304	Value	ValueOutput
Filter 1 Stereo	0	4194304	Value	ValueOutput
Filter 1 X	0	4194304	Value	ValueOutput
Filter 1 Y	0	4194304	Value	ValueOutput
Filter 2 Level	0	4194304	Value	ValueOutput
Filter 2 On	0	1	Value	ValueOutput
Filter 2 Type	0	106	Value	ValueOutput
Filter 2 Freq	0	4194304	Value	ValueOutput
Filter 2 Res	0	4194304	Value	ValueOutput
Filter 2 Drive	0	4194304	Value	ValueOutput
Filter 2 Var	0	4194304	Value	ValueOutput
Filter 2 Wet	0	4194304	Value	ValueOutput
Filter 2 Stereo	0	4194304	Value	ValueOutput
Filter 2 X	0	4194304	Value	ValueOutput
Filter 2 Y	0	4194304	Value	ValueOutput
Env 1 Attack	0	4194304	Value	ValueOutput
Env 1 Hold	0	4194304	Value	ValueOutput
Env 1 Decay	0	4194304	Value	ValueOutput
Env 1 Sustain	0	4194304	Value	ValueOutput
Env 1 Release	0	4194304	Value	ValueOutput
Env 1 Atk Curve	0	4194304	Value	ValueOutput
Env 1 Dec Curve	0	4194304	Value	ValueOutput
Env 1 Rel Curve	0	4194304	Value	ValueOutput
Env 2 Attack	0	4194304	Value	ValueOutput
Env 2 Hold	0	4194304	Value	ValueOutput
Env 2 Decay	0	4194304	Value	ValueOutput
Env 2 Sustain	0	4194304	Value	ValueOutput
Env 2 Release	0	4194304	Value	ValueOutput
Env 2 Atk Curve	0	4194304	Value	ValueOutput
Env 2 Dec Curve	0	4194304	Value	ValueOutput
Env 2 Rel Curve	0	4194304	Value	ValueOutput
Env 2 Start	0	4194304	Value	ValueOutput
Env 2 End	0	4194304	Value	ValueOutput
Env 3 Attack	0	4194304	Value	ValueOutput
Env 3 Hold	0	4194304	Value	ValueOutput
Env 3 Decay	0	4194304	Value	ValueOutput
Env 3 Sustain	0	4194304	Value	ValueOutput
Env 3 Release	0	4194304	Value	ValueOutput
Env 3 Atk Curve	0	4194304	Value	ValueOutput
Env 3 Dec Curve	0	4194304	Value	ValueOutput
Env 3 Rel Curve	0	4194304	Value	ValueOutput
Env 3 Start	0	4194304	Value	ValueOutput
Env 3 End	0	4194304	Value	ValueOutput
Env 4 Attack	0	4194304	Value	ValueOutput
Env 4 Hold	0	4194304	Value	ValueOutput
Env 4 Decay	0	4194304	Value	ValueOutput
Env 4 Sustain	0	4194304	Value	ValueOutput
Env 4 Release	0	4194304	Value	ValueOutput
Env 4 Atk Curve	0	4194304	Value	ValueOutput
Env 4 Dec Curve	0	4194304	Value	ValueOutput
Env 4 Rel Curve	0	4194304	Value	ValueOutput
Env 4 Start	0	4194304	Value	ValueOutput
Env 4 End	0	4194304	Value	ValueOutput
LFO 1 Rate	0	4194304	Value	ValueOutput
LFO 1 Smooth	0	4194304	Value	ValueOutput
LFO 1 Rise	0	4194304	Value	ValueOutput
LFO 1 Delay	0	4194304	Value	ValueOutput
LFO 1 Phase	0	4194304	Value	ValueOutput
LFO 2 Rate	0	4194304	Value	ValueOutput
LFO 2 Smooth	0	4194304	Value	ValueOutput
LFO 2 Rise	0	4194304	Value	ValueOutput
LFO 2 Delay	0	4194304	Value	ValueOutput
LFO 2 Phase	0	4194304	Value	ValueOutput
LFO 3 Rate	0	4194304	Value	ValueOutput
LFO 3 Smooth	0	4194304	Value	ValueOutput
LFO 3 Rise	0	4194304	Value	ValueOutput
LFO 3 Delay	0	4194304	Value	ValueOutput
LFO 3 Phase	0	4194304	Value	ValueOutput
LFO 4 Rate	0	4194304	Value	ValueOutput
LFO 4 Smooth	0	4194304	Value	ValueOutput
LFO 4 Rise	0	4194304	Value	ValueOutput
LFO 4 Delay	0	4194304	Value	ValueOutput
LFO 4 Phase	0	4194304	Value	ValueOutput
LFO 5 Rate	0	4194304	Value	ValueOutput
LFO 5 Smooth	0	4194304	Value	ValueOutput
LFO 5 Rise	0	4194304	Value	ValueOutput
LFO 5 Delay	0	4194304	Value	ValueOutput
LFO 5 Phase	0	4194304	Value	ValueOutput
LFO 6 Rate	0	4194304	Value	ValueOutput
LFO 6 Smooth	0	4194304	Value	ValueOutput
LFO 6 Rise	0	4194304	Value	ValueOutput
LFO 6 Delay	0	4194304	Value	ValueOutput
LFO 6 Phase	0	4194304	Value	ValueOutput
LFO 7 Rate	0	4194304	Value	ValueOutput
LFO 7 Smooth	0	4194304	Value	ValueOutput
LFO 7 Rise	0	4194304	Value	ValueOutput
LFO 7 Delay	0	4194304	Value	ValueOutput
LFO 7 Phase	0	4194304	Value	ValueOutput
LFO 8 Rate	0	4194304	Value	ValueOutput
LFO 8 Smooth	0	4194304	Value	ValueOutput
LFO 8 Rise	0	4194304	Value	ValueOutput
LFO 8 Delay	0	4194304	Value	ValueOutput
LFO 8 Phase	0	4194304	Value	ValueOutput
LFO 9 Rate	0	4194304	Value	ValueOutput
LFO 9 Smooth	0	4194304	Value	ValueOutput
LFO 9 Rise	0	4194304	Value	ValueOutput
LFO 9 Delay	0	4194304	Value	ValueOutput
LFO 9 Phase	0	4194304	Value	ValueOutput
LFO 10 Rate	0	4194304	Value	ValueOutput
LFO 10 Smooth	0	4194304	Value	ValueOutput
LFO 10 Rise	0	4194304	Value	ValueOutput
LFO 10 Delay	0	4194304	Value	ValueOutput
LFO 10 Phase	0	4194304	Value	ValueOutput
Mod 1 Amount	0	4194304	Value	ValueOutput
Mod 1 Out	0	4194304	Value	ValueOutput
Mod 2 Amount	0	4194304	Value	ValueOutput
Mod 2 Out	0	4194304	Value	ValueOutput
Mod 3 Amount	0	4194304	Value	ValueOutput
Mod 3 Out	0	4194304	Value	ValueOutput
Mod 4 Amount	0	4194304	Value	ValueOutput
Mod 4 Out	0	4194304	Value	ValueOutput
Mod 5 Amount	0	4194304	Value	ValueOutput
Mod 5 Out	0	4194304	Value	ValueOutput
Mod 6 Amount	0	4194304	Value	ValueOutput
Mod 6 Out	0	4194304	Value	ValueOutput
Mod 7 Amount	0	4194304	Value	ValueOutput
Mod 7 Out	0	4194304	Value	ValueOutput
Mod 8 Amount	0	4194304	Value	ValueOutput
Mod 8 Out	0	4194304	Value	ValueOutput
Mod 9 Amount	0	4194304	Value	ValueOutput
Mod 9 Out	0	4194304	Value	ValueOutput
Mod 10 Amount	0	4194304	Value	ValueOutput
Mod 10 Out	0	4194304	Value	ValueOutput
Mod 11 Amount	0	4194304	Value	ValueOutput
Mod 11 Out	0	4194304	Value	ValueOutput
Mod 12 Amount	0	4194304	Value	ValueOutput
Mod 12 Out	0	4194304	Value	ValueOutput
Mod 13 Amount	0	4194304	Value	ValueOutput
Mod 13 Out	0	4194304	Value	ValueOutput
Mod 14 Amount	0	4194304	Value	ValueOutput
Mod 14 Out	0	4194304	Value	ValueOutput
Mod 15 Amount	0	4194304	Value	ValueOutput
Mod 15 Out	0	4194304	Value	ValueOutput
Mod 16 Amount	0	4194304	Value	ValueOutput
Mod 16 Out	0	4194304	Value	ValueOutput
Mod 17 Amount	0	4194304	Value	ValueOutput
Mod 17 Out	0	4194304	Value	ValueOutput
Mod 18 Amount	0	4194304	Value	ValueOutput
Mod 18 Out	0	4194304	Value	ValueOutput
Mod 19 Amount	0	4194304	Value	ValueOutput
Mod 19 Out	0	4194304	Value	ValueOutput
Mod 20 Amount	0	4194304	Value	ValueOutput
Mod 20 Out	0	4194304	Value	ValueOutput
Mod 21 Amount	0	4194304	Value	ValueOutput
Mod 21 Out	0	4194304	Value	ValueOutput
Mod 22 Amount	0	4194304	Value	ValueOutput
Mod 22 Out	0	4194304	Value	ValueOutput
Mod 23 Amount	0	4194304	Value	ValueOutput
Mod 23 Out	0	4194304	Value	ValueOutput
Mod 24 Amount	0	4194304	Value	ValueOutput
Mod 24 Out	0	4194304	Value	ValueOutput
Mod 25 Amount	0	4194304	Value	ValueOutput
Mod 25 Out	0	4194304	Value	ValueOutput
Mod 26 Amount	0	4194304	Value	ValueOutput
Mod 26 Out	0	4194304	Value	ValueOutput
Mod 27 Amount	0	4194304	Value	ValueOutput
Mod 27 Out	0	4194304	Value	ValueOutput
Mod 28 Amount	0	4194304	Value	ValueOutput
Mod 28 Out	0	4194304	Value	ValueOutput
Mod 29 Amount	0	4194304	Value	ValueOutput
Mod 29 Out	0	4194304	Value	ValueOutput
Mod 30 Amount	0	4194304	Value	ValueOutput
Mod 30 Out	0	4194304	Value	ValueOutput
Mod 31 Amount	0	4194304	Value	ValueOutput
Mod 31 Out	0	4194304	Value	ValueOutput
Mod 32 Amount	0	4194304	Value	ValueOutput
Mod 32 Out	0	4194304	Value	ValueOutput
Mod 33 Amount	0	4194304	Value	ValueOutput
Mod 33 Out	0	4194304	Value	ValueOutput
Mod 34 Amount	0	4194304	Value	ValueOutput
Mod 34 Out	0	4194304	Value	ValueOutput
Mod 35 Amount	0	4194304	Value	ValueOutput
Mod 35 Out	0	4194304	Value	ValueOutput
Mod 36 Amount	0	4194304	Value	ValueOutput
Mod 36 Out	0	4194304	Value	ValueOutput
Mod 37 Amount	0	4194304	Value	ValueOutput
Mod 37 Out	0	4194304	Value	ValueOutput
Mod 38 Amount	0	4194304	Value	ValueOutput
Mod 38 Out	0	4194304	Value	ValueOutput
Mod 39 Amount	0	4194304	Value	ValueOutput
Mod 39 Out	0	4194304	Value	ValueOutput
Mod 40 Amount	0	4194304	Value	ValueOutput
Mod 40 Out	0	4194304	Value	ValueOutput
Mod 41 Amount	0	4194304	Value	ValueOutput
Mod 41 Out	0	4194304	Value	ValueOutput
Mod 42 Amount	0	4194304	Value	ValueOutput
Mod 42 Out	0	4194304	Value	ValueOutput
Mod 43 Amount	0	4194304	Value	ValueOutput
Mod 43 Out	0	4194304	Value	ValueOutput
Mod 44 Amount	0	4194304	Value	ValueOutput
Mod 44 Out	0	4194304	Value	ValueOutput
Mod 45 Amount	0	4194304	Value	ValueOutput
Mod 45 Out	0	4194304	Value	ValueOutput
Mod 46 Amount	0	4194304	Value	ValueOutput
Mod 46 Out	0	4194304	Value	ValueOutput
Mod 47 Amount	0	4194304	Value	ValueOutput
Mod 47 Out	0	4194304	Value	ValueOutput
Mod 48 Amount	0	4194304	Value	ValueOutput
Mod 48 Out	0	4194304	Value	ValueOutput
Mod 49 Amount	0	4194304	Value	ValueOutput
Mod 49 Out	0	4194304	Value	ValueOutput
Mod 50 Amount	0	4194304	Value	ValueOutput
Mod 50 Out	0	4194304	Value	ValueOutput
Mod 51 Amount	0	4194304	Value	ValueOutput
Mod 51 Out	0	4194304	Value	ValueOutput
Mod 52 Amount	0	4194304	Value	ValueOutput
Mod 52 Out	0	4194304	Value	ValueOutput
Mod 53 Amount	0	4194304	Value	ValueOutput
Mod 53 Out	0	4194304	Value	ValueOutput
Mod 54 Amount	0	4194304	Value	ValueOutput
Mod 54 Out	0	4194304	Value	ValueOutput
Mod 55 Amount	0	4194304	Value	ValueOutput
Mod 55 Out	0	4194304	Value	ValueOutput
Mod 56 Amount	0	4194304	Value	ValueOutput
Mod 56 Out	0	4194304	Value	ValueOutput
Mod 57 Amount	0	4194304	Value	ValueOutput
Mod 57 Out	0	4194304	Value	ValueOutput
Mod 58 Amount	0	4194304	Value	ValueOutput
Mod 58 Out	0	4194304	Value	ValueOutput
Mod 59 Amount	0	4194304	Value	ValueOutput
Mod 59 Out	0	4194304	Value	ValueOutput
Mod 60 Amount	0	4194304	Value	ValueOutput
Mod 60 Out	0	4194304	Value	ValueOutput
Mod 61 Amount	0	4194304	Value	ValueOutput
Mod 61 Out	0	4194304	Value	ValueOutput
Mod 62 Amount	0	4194304	Value	ValueOutput
Mod 62 Out	0	4194304	Value	ValueOutput
Mod 63 Amount	0	4194304	Value	ValueOutput
Mod 63 Out	0	4194304	Value	ValueOutput
Mod 64 Amount	0	4194304	Value	ValueOutput
Mod 64 Out	0	4194304	Value	ValueOutput
Macro 1	0	4194304	Value	ValueOutput
Macro 2	0	4194304	Value	ValueOutput
Macro 3	0	4194304	Value	ValueOutput
Macro 4	0	4194304	Value	ValueOutput
Macro 5	0	4194304	Value	ValueOutput
Macro 6	0	4194304	Value	ValueOutput
Macro 7	0	4194304	Value	ValueOutput
Macro 8	0	4194304	Value	ValueOutput
A>Filter Balance	0	4194304	Value	ValueOutput
A>BUS1	0	4194304	Value	ValueOutput
A>BUS2	0	4194304	Value	ValueOutput
B>Filter Balance	0	4194304	Value	ValueOutput
B>BUS1	0	4194304	Value	ValueOutput
B>BUS2	0	4194304	Value	ValueOutput
C>Filter Balance	0	4194304	Value	ValueOutput
C>BUS1	0	4194304	Value	ValueOutput
C>BUS2	0	4194304	Value	ValueOutput
Noise>Filter Balance	0	4194304	Value	ValueOutput
Noise>BUS1	0	4194304	Value	ValueOutput
Noise>BUS2	0	4194304	Value	ValueOutput
Sub Osc>Filter Balance	0	4194304	Value	ValueOutput
Sub Osc>BUS1	0	4194304	Value	ValueOutput
Sub Osc>BUS2	0	4194304	Value	ValueOutput
Filter 1>BUS1	0	4194304	Value	ValueOutput
Filter 1>BUS2	0	4194304	Value	ValueOutput
Filter 2>BUS1	0	4194304	Value	ValueOutput
Filter 2>BUS2	0	4194304	Value	ValueOutput
Osc Detune Rnd	0	4194304	Value	ValueOutput
Osc Pan Rand	0	4194304	Value	ValueOutput
Env Rand	0	4194304	Value	ValueOutput
Cutoff Rand	0	4194304	Value	ValueOutput
FX Main Param 1	0	4194304	Value	ValueOutput
FX Main Param 2	0	4194304	Value	ValueOutput
FX Main Param 3	0	4194304	Value	ValueOutput
FX Main Param 4	0	4194304	Value	ValueOutput
FX Main Param 5	0	4194304	Value	ValueOutput
FX Main Param 6	0	4194304	Value	ValueOutput
FX Main Param 7	0	4194304	Value	ValueOutput
FX Main Param 8	0	4194304	Value	ValueOutput
FX Main Param 9	0	4194304	Value	ValueOutput
FX Main Param 10	0	4194304	Value	ValueOutput
FX Main Param 11	0	4194304	Value	ValueOutput
FX Main Param 12	0	4194304	Value	ValueOutput
FX Main Param 13	0	4194304	Value	ValueOutput
FX Main Param 14	0	4194304	Value	ValueOutput
FX Main Param 15	0	4194304	Value	ValueOutput
FX Main Param 16	0	4194304	Value	ValueOutput
FX Bus 1 Param 1	0	4194304	Value	ValueOutput
FX Bus 1 Param 2	0	4194304	Value	ValueOutput
FX Bus 1 Param 3	0	4194304	Value	ValueOutput
FX Bus 1 Param 4	0	4194304	Value	ValueOutput
FX Bus 1 Param 5	0	4194304	Value	ValueOutput
FX Bus 1 Param 6	0	4194304	Value	ValueOutput
FX Bus 1 Param 7	0	4194304	Value	ValueOutput
FX Bus 1 Param 8	0	4194304	Value	ValueOutput
FX Bus 1 Param 9	0	4194304	Value	ValueOutput
FX Bus 1 Param 10	0	4194304	Value	ValueOutput
FX Bus 1 Param 11	0	4194304	Value	ValueOutput
FX Bus 1 Param 12	0	4194304	Value	ValueOutput
FX Bus 1 Param 13	0	4194304	Value	ValueOutput
FX Bus 1 Param 14	0	4194304	Value	ValueOutput
FX Bus 1 Param 15	0	4194304	Value	ValueOutput
FX Bus 1 Param 16	0	4194304	Value	ValueOutput
FX Bus 2 Param 1	0	4194304	Value	ValueOutput
FX Bus 2 Param 2	0	4194304	Value	ValueOutput
FX Bus 2 Param 3	0	4194304	Value	ValueOutput
FX Bus 2 Param 4	0	4194304	Value	ValueOutput
FX Bus 2 Param 5	0	4194304	Value	ValueOutput
FX Bus 2 Param 6	0	4194304	Value	ValueOutput
FX Bus 2 Param 7	0	4194304	Value	ValueOutput
FX Bus 2 Param 8	0	4194304	Value	ValueOutput
FX Bus 2 Param 9	0	4194304	Value	ValueOutput
FX Bus 2 Param 10	0	4194304	Value	ValueOutput
FX Bus 2 Param 11	0	4194304	Value	ValueOutput
FX Bus 2 Param 12	0	4194304	Value	ValueOutput
FX Bus 2 Param 13	0	4194304	Value	ValueOutput
FX Bus 2 Param 14	0	4194304	Value	ValueOutput
FX Bus 2 Param 15	0	4194304	Value	ValueOutput
FX Bus 2 Param 16	0	4194304	Value	ValueOutput
Clip Player Enable	0	1	Value	ValueOutput
Clip Player Transpose	0	4194304	Value	ValueOutput
Clip Player Rate	0	4194304	Value	ValueOutput
Clip Player Offset	0	4194304	Value	ValueOutput
Arp Enable	0	1	Value	ValueOutput
Arp Rate	0	4194304	Value	ValueOutput
Arp Shift	0	4194304	Value	ValueOutput
Arp Range	0	4194304	Value	ValueOutput
Arp Offset	0	4194304	Value	ValueOutput
Arp Repeats	0	4194304	Value	ValueOutput
Arp Gate	0	4194304	Value	ValueOutput
Arp Chance	0	4194304	Value	ValueOutput
Arp Retrig Rate	0	4194304	Value	ValueOutput
Arp Velo Decay	0	4194304	Value	ValueOutput
Arp Velo Target	0	4194304	Value	ValueOutput
Arp Transpose	0	4194304	Value	ValueOutput
Arp Wrap Transpose	0	4194304	Value	ValueOutput
Arp Wrap Range	0	4194304	Value	ValueOutput
Arp Wrap Phantom Note	0	4194304	Value	ValueOutput
Key	0	12	Value	ValueOutput
Scale	0	63	Value	ValueOutput
Bank	0	127	Value	ValueOutput
Pitch Bend Chan 1	0	4194304	Value	ValueOutput
Aftertouch Chan 1	0	4194304	Value	ValueOutput
CC0 Chan 1	0	4194304	Value	ValueOutput
CC1 Chan 1	0	4194304	Value	ValueOutput
CC2 Chan 1	0	4194304	Value	ValueOutput
CC3 Chan 1	0	4194304	Value	ValueOutput
CC4 Chan 1	0	4194304	Value	ValueOutput
CC5 Chan 1	0	4194304	Value	ValueOutput
CC6 Chan 1	0	4194304	Value	ValueOutput
CC7 Chan 1	0	4194304	Value	ValueOutput
CC8 Chan 1	0	4194304	Value	ValueOutput
CC9 Chan 1	0	4194304	Value	ValueOutput
CC10 Chan 1	0	4194304	Value	ValueOutput
CC11 Chan 1	0	4194304	Value	ValueOutput
CC12 Chan 1	0	4194304	Value	ValueOutput
CC13 Chan 1	0	4194304	Value	ValueOutput
